/home/rlwang/.local/lib/python3.9/site-packages/torchvision/io/image.py:13: UserWarning: Failed to load image Python extension: /net/vast-storage/scratch/vast/fiete/rlwang/.local/lib/python3.9/site-packages/torchvision/image.so: undefined symbol: _ZN3c105ErrorC2ENS_14SourceLocationESs
  warn(f"Failed to load image Python extension: {e}")
/om2/user/rlwang/anaconda/envs/patchseq/lib/python3.9/site-packages/torch/nn/modules/lazy.py:180: UserWarning: Lazy modules are a new feature under heavy development so changes to the API or functionality can happen at any moment.
  warnings.warn('Lazy modules are a new feature under heavy development '
Warning: GEM and A-GEM cannot be used on Windows (quadprog required)
Initialized
Goal Location:  [-9  2]
New Placed Goal Location: [-6, -5]
Initialized
Goal Location:  [6 9]
New Placed Goal Location: [-4, 4]
Initialized
Goal Location:  [-14  13]
New Placed Goal Location: [9, 6]
Initialized
Goal Location:  [-12 -14]
New Placed Goal Location: [10, 1]
Initialized
Goal Location:  [14  3]
New Placed Goal Location: [-4, -8]
Number of classes: 4
Namespace(seed=None, notes=None, non_verbose=0, disable_log=0, validation=0, ignore_other_metrics=0, debug_mode=0, nowand=1, wandb_entity='regaz', wandb_project='mammoth', dataset='seq-mwm', model='derpp', lr=0.001, optim_wd=0.0, optim_mom=0.0, optim_nesterov=0, n_epochs=100, batch_size=16, distributed='no', buffer_size=200, minibatch_size=16, alpha=0.5, beta=0.5, conf_jobnum='e391d45f-7b3f-451b-9708-1613d0eba18c', conf_timestamp='2023-11-22 14:42:20.712861', conf_host='node088')
Initialized
Goal Location:  [14 -5]
New Placed Goal Location: [-6, -5]
Initialized
Goal Location:  [-4 -5]
New Placed Goal Location: [-4, 4]
Initialized
Goal Location:  [-11 -11]
New Placed Goal Location: [9, 6]
Initialized
Goal Location:  [-14   0]
New Placed Goal Location: [10, 1]
Initialized
Goal Location:  [ 0 -8]
New Placed Goal Location: [-4, -8]


[ 11-22 | 14:42 ] Task 1 | epoch 0: |███████┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈| 1150.57 ep/h | loss: 2.07915831 |
[ 11-22 | 14:42 ] Task 1 | epoch 0: |███████████┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈| 1221.96 ep/h | loss: 2.07988334 |
[ 11-22 | 14:42 ] Task 1 | epoch 0: |███████████████┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈| 1239.15 ep/h | loss: 2.09025383 |
[ 11-22 | 14:42 ] Task 1 | epoch 0: |███████████████████┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈| 1255.94 ep/h | loss: 2.08026981 |
[ 11-22 | 14:42 ] Task 1 | epoch 0: |███████████████████████┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈| 1268.19 ep/h | loss: 2.07030487 |
[ 11-22 | 14:42 ] Task 1 | epoch 0: |██████████████████████████┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈| 1277.86 ep/h | loss: 2.07761478 |
[ 11-22 | 14:42 ] Task 1 | epoch 0: |██████████████████████████████┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈| 1283.0 ep/h | loss: 2.06764007 |
[ 11-22 | 14:42 ] Task 1 | epoch 0: |██████████████████████████████████┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈| 1287.36 ep/h | loss: 2.07134771 |
[ 11-22 | 14:42 ] Task 1 | epoch 0: |██████████████████████████████████████┈┈┈┈┈┈┈┈┈┈┈┈| 1288.03 ep/h | loss: 2.05859017 |
[ 11-22 | 14:42 ] Task 1 | epoch 0: |██████████████████████████████████████████┈┈┈┈┈┈┈┈| 1289.82 ep/h | loss: 2.06299591 |
[ 11-22 | 14:42 ] Task 1 | epoch 0: |██████████████████████████████████████████████┈┈┈┈| 1291.64 ep/h | loss: 2.05462599 |
[ 11-22 | 14:42 ] Task 1 | epoch 0: |██████████████████████████████████████████████████| 1292.33 ep/h | loss: 2.05979276 |
[ 11-22 | 14:43 ] Task 1 | epoch 1: |███████┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈| 1304.55 ep/h | loss: 2.04013562 |
[ 11-22 | 14:43 ] Task 1 | epoch 1: |███████████┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈| 1312.05 ep/h | loss: 2.03940845 |
[ 11-22 | 14:43 ] Task 1 | epoch 1: |███████████████┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈| 1300.18 ep/h | loss: 2.04455805 |
[ 11-22 | 14:43 ] Task 1 | epoch 1: |███████████████████┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈| 1300.85 ep/h | loss: 2.03741789 |
[ 11-22 | 14:43 ] Task 1 | epoch 1: |███████████████████████┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈| 1294.63 ep/h | loss: 2.03478098 |
[ 11-22 | 14:43 ] Task 1 | epoch 1: |██████████████████████████┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈| 1295.66 ep/h | loss: 2.02308035 |
[ 11-22 | 14:43 ] Task 1 | epoch 1: |██████████████████████████████┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈| 1296.37 ep/h | loss: 2.01499176 |
[ 11-22 | 14:43 ] Task 1 | epoch 1: |██████████████████████████████████┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈| 1274.25 ep/h | loss: 2.02534389 |
[ 11-22 | 14:43 ] Task 1 | epoch 1: |██████████████████████████████████████┈┈┈┈┈┈┈┈┈┈┈┈| 1264.39 ep/h | loss: 2.00939298 |
[ 11-22 | 14:43 ] Task 1 | epoch 1: |██████████████████████████████████████████┈┈┈┈┈┈┈┈| 1268.72 ep/h | loss: 2.00567436 |
[ 11-22 | 14:43 ] Task 1 | epoch 1: |██████████████████████████████████████████████┈┈┈┈| 1270.7 ep/h | loss: 2.01116061 |
[ 11-22 | 14:43 ] Task 1 | epoch 1: |██████████████████████████████████████████████████| 1259.32 ep/h | loss: 2.00259829 |
[ 11-22 | 14:43 ] Task 1 | epoch 2: |███████┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈| 1256.71 ep/h | loss: 2.01056385 |
[ 11-22 | 14:43 ] Task 1 | epoch 2: |███████████┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈| 1301.05 ep/h | loss: 2.00515866 |
[ 11-22 | 14:43 ] Task 1 | epoch 2: |███████████████┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈| 1291.82 ep/h | loss: 2.00118971 |
[ 11-22 | 14:43 ] Task 1 | epoch 2: |███████████████████┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈| 1290.42 ep/h | loss: 2.00648117 |
[ 11-22 | 14:43 ] Task 1 | epoch 2: |███████████████████████┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈| 1305.95 ep/h | loss: 1.98563433 |
[ 11-22 | 14:43 ] Task 1 | epoch 2: |██████████████████████████┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈| 1313.25 ep/h | loss: 1.99557996 |
[ 11-22 | 14:43 ] Task 1 | epoch 2: |██████████████████████████████┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈| 1313.23 ep/h | loss: 2.00589848 |
[ 11-22 | 14:43 ] Task 1 | epoch 2: |██████████████████████████████████┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈| 1317.77 ep/h | loss: 1.99068487 |
[ 11-22 | 14:43 ] Task 1 | epoch 2: |██████████████████████████████████████┈┈┈┈┈┈┈┈┈┈┈┈| 1312.84 ep/h | loss: 1.99327171 |
[ 11-22 | 14:43 ] Task 1 | epoch 2: |██████████████████████████████████████████┈┈┈┈┈┈┈┈| 1313.84 ep/h | loss: 1.99860716 |
[ 11-22 | 14:43 ] Task 1 | epoch 2: |██████████████████████████████████████████████┈┈┈┈| 1314.3 ep/h | loss: 1.9719305 |
[ 11-22 | 14:43 ] Task 1 | epoch 2: |██████████████████████████████████████████████████| 1311.84 ep/h | loss: 1.96711516 |
[ 11-22 | 14:43 ] Task 1 | epoch 3: |███████┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈| 1331.01 ep/h | loss: 1.97369528 |
[ 11-22 | 14:43 ] Task 1 | epoch 3: |███████████┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈| 1331.41 ep/h | loss: 1.97488952 |
[ 11-22 | 14:43 ] Task 1 | epoch 3: |███████████████┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈| 1316.45 ep/h | loss: 1.97739732 |
[ 11-22 | 14:43 ] Task 1 | epoch 3: |███████████████████┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈| 1317.8 ep/h | loss: 1.97786427 |
[ 11-22 | 14:43 ] Task 1 | epoch 3: |███████████████████████┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈| 1317.02 ep/h | loss: 1.95881152 |
[ 11-22 | 14:43 ] Task 1 | epoch 3: |██████████████████████████┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈| 1314.67 ep/h | loss: 1.96644306 |
[ 11-22 | 14:43 ] Task 1 | epoch 3: |██████████████████████████████┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈| 1309.1 ep/h | loss: 1.94648421 |
[ 11-22 | 14:43 ] Task 1 | epoch 3: |██████████████████████████████████┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈| 1291.3 ep/h | loss: 1.97190881 |
[ 11-22 | 14:43 ] Task 1 | epoch 3: |██████████████████████████████████████┈┈┈┈┈┈┈┈┈┈┈┈| 1273.59 ep/h | loss: 1.96016645 |
[ 11-22 | 14:43 ] Task 1 | epoch 3: |██████████████████████████████████████████┈┈┈┈┈┈┈┈| 1273.95 ep/h | loss: 1.98048306 |
[ 11-22 | 14:43 ] Task 1 | epoch 3: |██████████████████████████████████████████████┈┈┈┈| 1277.13 ep/h | loss: 1.95971465 |
[ 11-22 | 14:43 ] Task 1 | epoch 3: |██████████████████████████████████████████████████| 1265.21 ep/h | loss: 1.92592144 |
[ 11-22 | 14:43 ] Task 1 | epoch 4: |███████┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈| 1300.54 ep/h | loss: 1.92898774 |
[ 11-22 | 14:43 ] Task 1 | epoch 4: |███████████┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈| 1299.56 ep/h | loss: 1.92423749 |
[ 11-22 | 14:43 ] Task 1 | epoch 4: |███████████████┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈| 1289.55 ep/h | loss: 1.96924782 |
[ 11-22 | 14:43 ] Task 1 | epoch 4: |███████████████████┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈| 1294.61 ep/h | loss: 1.90954638 |
[ 11-22 | 14:43 ] Task 1 | epoch 4: |███████████████████████┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈| 1291.22 ep/h | loss: 1.92140448 |
[ 11-22 | 14:43 ] Task 1 | epoch 4: |██████████████████████████┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈| 1292.81 ep/h | loss: 1.93762064 |
[ 11-22 | 14:43 ] Task 1 | epoch 4: |██████████████████████████████┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈| 1291.5 ep/h | loss: 1.9220072 |
[ 11-22 | 14:43 ] Task 1 | epoch 4: |██████████████████████████████████┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈| 1290.01 ep/h | loss: 1.91731179 |
[ 11-22 | 14:43 ] Task 1 | epoch 4: |██████████████████████████████████████┈┈┈┈┈┈┈┈┈┈┈┈| 1290.0 ep/h | loss: 1.9253366 |
[ 11-22 | 14:43 ] Task 1 | epoch 4: |██████████████████████████████████████████┈┈┈┈┈┈┈┈| 1286.11 ep/h | loss: 1.89731956 |
[ 11-22 | 14:43 ] Task 1 | epoch 4: |██████████████████████████████████████████████┈┈┈┈| 1285.56 ep/h | loss: 1.94589257 |
[ 11-22 | 14:43 ] Task 1 | epoch 4: |██████████████████████████████████████████████████| 1283.6 ep/h | loss: 1.90563142 |
[ 11-22 | 14:43 ] Task 1 | epoch 5: |███████┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈| 1240.05 ep/h | loss: 1.97221708 |
[ 11-22 | 14:43 ] Task 1 | epoch 5: |███████████┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈| 1230.16 ep/h | loss: 2.06838298 |
[ 11-22 | 14:43 ] Task 1 | epoch 5: |███████████████┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈| 1226.84 ep/h | loss: 2.05248713 |
[ 11-22 | 14:43 ] Task 1 | epoch 5: |███████████████████┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈| 1227.23 ep/h | loss: 1.90902543 |
[ 11-22 | 14:43 ] Task 1 | epoch 5: |███████████████████████┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈| 1226.07 ep/h | loss: 1.92228293 |
[ 11-22 | 14:43 ] Task 1 | epoch 5: |██████████████████████████┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈| 1229.62 ep/h | loss: 1.90135431 |
[ 11-22 | 14:43 ] Task 1 | epoch 5: |██████████████████████████████┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈| 1211.13 ep/h | loss: 2.05634642 |
[ 11-22 | 14:43 ] Task 1 | epoch 5: |██████████████████████████████████┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈| 1196.84 ep/h | loss: 1.96100783 |
[ 11-22 | 14:43 ] Task 1 | epoch 5: |██████████████████████████████████████┈┈┈┈┈┈┈┈┈┈┈┈| 1197.45 ep/h | loss: 2.06389332 |
[ 11-22 | 14:43 ] Task 1 | epoch 5: |██████████████████████████████████████████┈┈┈┈┈┈┈┈| 1198.95 ep/h | loss: 2.06455374 |
[ 11-22 | 14:43 ] Task 1 | epoch 5: |██████████████████████████████████████████████┈┈┈┈| 1188.73 ep/h | loss: 1.95958328 |
[ 11-22 | 14:43 ] Task 1 | epoch 5: |██████████████████████████████████████████████████| 1183.2 ep/h | loss: 2.05137229 |
[ 11-22 | 14:43 ] Task 1 | epoch 6: |███████┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈| 1262.97 ep/h | loss: 2.06210709 |
[ 11-22 | 14:43 ] Task 1 | epoch 6: |███████████┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈| 1269.34 ep/h | loss: 2.16350174 |
[ 11-22 | 14:43 ] Task 1 | epoch 6: |███████████████┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈| 1249.09 ep/h | loss: 2.03820848 |
[ 11-22 | 14:43 ] Task 1 | epoch 6: |███████████████████┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈| 1253.99 ep/h | loss: 1.96393347 |
[ 11-22 | 14:43 ] Task 1 | epoch 6: |███████████████████████┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈| 1258.1 ep/h | loss: 2.07491517 |
[ 11-22 | 14:43 ] Task 1 | epoch 6: |██████████████████████████┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈| 1261.72 ep/h | loss: 2.06814313 |
[ 11-22 | 14:43 ] Task 1 | epoch 6: |██████████████████████████████┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈| 1263.13 ep/h | loss: 2.06602883 |
[ 11-22 | 14:43 ] Task 1 | epoch 6: |██████████████████████████████████┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈| 1257.62 ep/h | loss: 2.07091331 |
[ 11-22 | 14:43 ] Task 1 | epoch 6: |██████████████████████████████████████┈┈┈┈┈┈┈┈┈┈┈┈| 1258.67 ep/h | loss: 2.05827856 |
[ 11-22 | 14:43 ] Task 1 | epoch 6: |██████████████████████████████████████████┈┈┈┈┈┈┈┈| 1257.76 ep/h | loss: 2.06355333 |
[ 11-22 | 14:43 ] Task 1 | epoch 6: |██████████████████████████████████████████████┈┈┈┈| 1259.46 ep/h | loss: 1.98433423 |
[ 11-22 | 14:43 ] Task 1 | epoch 6: |██████████████████████████████████████████████████| 1258.71 ep/h | loss: 1.95383155 |
[ 11-22 | 14:43 ] Task 1 | epoch 7: |███████┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈| 1246.03 ep/h | loss: 2.16450882 |
[ 11-22 | 14:43 ] Task 1 | epoch 7: |███████████┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈| 1253.32 ep/h | loss: 2.04715419 |
[ 11-22 | 14:43 ] Task 1 | epoch 7: |███████████████┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈| 1240.7 ep/h | loss: 1.96544623 |
[ 11-22 | 14:43 ] Task 1 | epoch 7: |███████████████████┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈| 1246.46 ep/h | loss: 2.04452872 |
